m,y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio
9.0,2009,Unnamed stream Maungaraki,1.3,3.11,1007.92,122.0,2320.7,1.294,1.293,3,0
9.0,2009,Boundary Creek tributary,1.17,4.34,1065.74,124.98,2327.24,1.068,1.068,8,1
4.0,2009,Tauanui River,1.0,4.0,1071.53,116.17,2321.45,1.0,1.0,3,1
12.0,2009,Steeple Burn,3.0,1.0,1006.47,98.86,2213.97,3.0,2.0,0,1
12.0,2009,Garvie Burn,4.0,1.0,982.36,101.0,2199.0,3.283,1.824,1,1
12.0,2009,Charcoal Creek,3.12,3.26,1027.21,98.03,2231.71,3.134,1.261,0,1
12.0,2009,Gow Burn,3.0,1.96,1025.58,98.32,2226.37,3.0,1.3,0,0
12.0,2009,Steven Burn,3.65,1.13,1024.13,100.69,2221.3,3.315,2.0,0,0
1.0,2010,Ruamahanga River tributary,2.0,1.0,1096.28,120.73,2331.55,2.0,2.0,2,1
1.0,2010,Ruamahanga River tributary,2.0,1.0,1096.28,120.73,2331.55,2.0,2.0,1,0
1.0,2010,Abbots Creek tributary,1.13,3.62,1012.19,114.42,2331.15,1.037,1.037,2,1
1.0,2010,Ruamahanga River tributary wetland,2.0,1.0,1075.28,114.47,2321.9,2.0,2.0,2,1
11.0,2008,Little Kaituna Stream,2.48,4.48,1011.63,126.02,2349.58,2.489,2.64,2,0
11.0,2008,Little Kaituna Stream,2.48,4.48,1011.63,126.02,2349.58,2.489,2.64,3,0
11.0,2008,Tukurua Creek,1.54,4.01,987.3,122.77,2346.98,1.515,2.148,4,0
3.0,2009,Blanchards Creek,2.82,2.99,753.65,109.01,2190.53,2.844,0.994,4,0
3.0,2009,Friends Creek,2.13,3.0,709.19,106.61,2182.58,2.121,1.0,4,0
11.0,2009,Repo Stream tributary,1.0,4.33,693.94,102.2,2255.25,1.0,1.0,0,1
11.0,2009,Repo Stream tributary wetland,1.0,4.33,693.94,102.2,2255.25,1.0,1.0,0,1
11.0,2009,Repo Stream tributary wetland,1.0,4.33,693.94,102.2,2255.25,1.0,1.0,0,1
11.0,2009,Repo Stream tributary wetland,1.0,4.15,702.1,102.6,2256.93,1.0,1.0,0,1
11.0,2009,Repo Stream wetland,2.19,4.71,699.49,101.46,2258.36,2.192,1.0,0,1
11.0,2009,Repo Stream tributary wetland,1.0,4.2,697.56,101.77,2257.19,1.021,1.0,0,1
11.0,2009,Repo Stream tributary wetland,1.0,4.33,693.94,102.2,2255.25,1.0,1.0,0,1
12.0,2009,Talla Burn,3.0,3.97,947.17,96.01,2183.16,3.0,2.0,1,1
12.0,2009,Minzion Burn,2.94,0.98,988.31,103.15,2197.24,2.986,1.991,1,1
12.0,2009,Carsons Creek,2.31,1.54,968.51,103.97,2175.0,2.958,1.259,1,1
9.0,2009,Leithen Burn tributary,3.29,1.0,920.95,96.54,2178.3,3.07,2.0,0,1
9.0,2009,Waikoikoi Creek,3.25,1.68,894.26,99.99,2160.06,3.212,2.0,2,0
9.0,2009,Washpool Stream,3.0,1.0,893.45,100.89,2150.67,3.0,2.0,2,1
11.0,2009,Low Burn,3.0,2.72,965.93,102.33,2177.85,2.995,1.997,2,1
12.0,2009,Beaumont River,3.0,3.9,946.29,98.01,2176.71,3.0,2.0,0,1
12.0,2009,Canadian Creek,3.0,3.78,943.76,96.33,2180.75,3.0,2.0,1,1
2.0,2008,Otamatapaio River,3.04,3.87,938.72,64.8,2264.77,3.018,1.018,1,0
2.0,2008,Otamatapaio River tributary,3.0,4.0,846.47,52.92,2257.07,3.011,1.011,1,0
2.0,2008,Otamatapaio River,3.48,2.55,1025.55,75.23,2275.0,3.839,1.839,2,0
2.0,2008,Otamatapaio River tributary,3.02,3.94,1068.3,81.7,2279.11,3.002,1.002,0,1
2.0,2008,Otamatapaio River tributary,3.43,2.72,1056.12,79.45,2278.15,3.442,1.442,0,1
2.0,2008,Otamatapaio River,3.3,3.11,1035.05,76.26,2276.34,3.289,1.289,0,1
2.0,2008,Alfreds Creek,3.32,3.04,1030.81,75.87,2276.44,3.299,1.299,0,1
2.0,2008,Otamatapaio River,3.3,3.11,1002.71,72.08,2272.86,3.161,1.161,1,1
2.0,2008,Otamatapaio River,3.42,2.74,975.94,69.16,2267.42,3.42,1.42,0,1
2.0,2009,Alfreds Creek,3.87,1.4,1050.2,78.07,2279.5,3.068,1.068,0,1
2.0,2009,Alfreds Creek,3.0,4.0,993.1,69.89,2274.38,3.0,1.0,0,1
2.0,2009,Otamatapaio River tributary,3.05,3.84,971.73,67.48,2271.49,3.063,1.063,0,1
2.0,2009,Otamatapaio River tributary,3.05,3.84,971.73,67.48,2271.49,3.063,1.063,1,1
2.0,2009,Otamatapaio River tributary,3.03,3.91,953.82,66.11,2267.03,3.018,1.018,1,0
2.0,2009,Otamatapaio River tributary,3.03,3.91,953.82,66.11,2267.03,3.018,1.018,1,1
2.0,2009,Otamatapaio River tributary,3.0,4.0,918.66,61.24,2265.0,3.0,1.0,1,1
2.0,2009,Otamatapaio River,3.0,4.0,860.93,54.14,2259.48,3.0,1.0,0,1
2.0,2009,Otamatapaio River,3.0,4.0,823.2,50.28,2253.89,3.0,1.0,1,1
2.0,2009,Otamatapaio River tributary,3.0,4.0,864.32,55.19,2255.57,3.0,1.0,1,0
2.0,2009,Otamatapaio River,3.0,4.0,823.2,50.28,2253.89,3.0,1.0,0,1
2.0,2009,Otamatapaio River,3.0,4.0,823.2,50.28,2253.89,3.0,1.0,0,1
2.0,2009,Otamatapaio River,3.0,4.0,823.2,50.28,2253.89,3.0,1.0,0,1
2.0,2009,Darts Bush Stream tributary,3.02,3.98,999.71,67.86,2283.64,3.035,1.035,1,1
2.0,2009,Darts Bush Stream tributary,3.0,4.0,952.95,60.88,2278.94,3.0,1.0,0,1
2.0,2009,Darts Bush Stream tributary,3.57,3.43,1095.18,83.69,2291.19,3.513,1.513,0,1
2.0,2009,Darts Bush Stream tributary,3.79,3.21,1116.41,87.74,2291.97,3.745,1.645,3,1
2.0,2009,Darts Bush Stream tributary,4.0,3.0,1129.88,89.27,2293.0,3.633,1.279,0,1
2.0,2009,Darts Bush Stream,3.79,3.21,1116.41,87.74,2291.97,3.745,1.645,1,1
2.0,2009,Darts Bush Stream,3.91,3.09,1104.37,85.13,2292.82,3.808,1.808,2,1
2.0,2009,Darts Bush Stream,3.91,3.09,1104.37,85.13,2292.82,3.808,1.808,1,1
2.0,2009,Fraser Stream,4.0,3.0,1133.65,90.31,2293.09,3.548,1.395,3,0
2.0,2009,Fraser Stream,4.0,3.0,1133.65,90.31,2293.09,3.548,1.395,2,1
2.0,2009,Fraser Stream tributary,4.0,3.0,1135.86,91.0,2291.51,3.936,1.485,2,0
2.0,2009,Fraser Stream tributary,4.0,3.0,1135.48,91.09,2291.02,3.857,1.294,1,1
2.0,2009,Fraser Stream tributary,4.0,3.0,1136.03,91.82,2291.56,3.86,1.308,1,1
2.0,2009,Fraser Stream tributary,4.0,1.8,1133.26,92.0,2292.0,3.874,1.38,2,1
2.0,2009,Fraser Stream,4.0,2.5,1130.67,92.0,2292.88,3.89,1.401,1,1
2.0,2009,Fraser Stream,4.0,2.5,1130.67,92.0,2292.88,3.89,1.401,0,1
2.0,2009,Fraser Stream,4.0,1.3,1130.53,92.0,2292.57,3.912,1.455,1,1
2.0,2009,Fraser Stream,4.0,2.35,1132.3,92.0,2292.92,4.0,1.602,0,1
11.0,2009,Mahurangi River,1.75,1.98,1121.77,150.22,2373.21,1.794,1.794,2,0
11.0,2009,Mahurangi River,1.75,1.98,1121.77,150.22,2373.21,1.794,1.794,1,0
11.0,2009,Mahurangi River tributary,1.54,3.63,1120.84,149.3,2372.78,1.494,2.47,3,0
3.0,2008,Unnamed Stream Home Bay,1.0,4.0,1195.62,149.03,2384.46,1.0,1.0,1,0
3.0,2008,Unnamed Stream Home Bay,1.0,4.0,1192.84,148.82,2384.34,1.0,1.0,1,0
3.0,2008,Unnamed Stream Administration Bay,1.0,4.0,1189.3,147.74,2383.94,1.0,1.0,0,0
3.0,2008,Unnamed Stream Westpoint Beach,0.96,3.82,1157.16,149.85,2385.22,1.0,1.0,2,0
12.0,2009,Unnamed wetland,4.0,1.75,1147.39,116.79,2293.35,3.859,1.929,1,0
11.0,2009,Unnamed pond,4.0,1.0,1144.03,118.0,2283.0,3.236,2.0,0,0
7.0,2009,Cordys Stream,4.0,3.0,1178.92,109.89,2295.97,3.242,2.0,1,0
8.0,2009,Water race,4.0,3.0,1166.79,110.1,2295.0,4.0,2.0,1,0
8.0,2009,Waianiwaniwa River tributary,3.94,2.95,1166.33,110.71,2294.12,3.965,1.983,1,0
8.0,2009,Selwyn River,2.77,1.57,1171.34,111.0,2294.0,3.555,1.778,0,0
8.0,2009,Selwyn River,2.77,1.57,1171.34,111.0,2294.0,3.555,1.778,0,0
8.0,2009,Water race,3.79,2.84,1169.85,111.0,2294.0,3.709,1.855,1,0
8.0,2009,Water race,3.79,2.84,1169.85,111.0,2294.0,3.709,1.855,1,0
8.0,2009,Water race,3.87,2.9,1169.3,111.0,2294.72,3.869,1.935,0,0
8.0,2009,Water race,3.87,2.9,1169.3,111.0,2294.72,3.869,1.935,2,0
8.0,2009,Hororata River tributary,4.0,2.26,1173.76,109.92,2295.56,4.0,2.0,1,0
2.0,2008,Owaka River,3.84,1.49,789.81,95.62,2121.56,3.306,1.306,2,1
,2008,Tahakopa River,3.1,2.5,783.41,99.33,2108.44,3.112,1.524,5,1
3.0,2008,Teviot River,3.0,3.96,1048.95,103.92,2228.5,3.0,2.0,2,1
3.0,2008,Arrow River,3.0,2.0,1160.1,97.48,2309.45,3.0,2.0,0,1
3.0,2008,Tima Burn,2.86,1.63,1002.63,104.25,2206.43,2.97,1.972,0,1
3.0,2008,Minzion Burn,3.0,1.0,986.16,102.52,2197.38,3.0,2.0,3,1
5.0,2008,Tuapeka River,2.95,3.6,921.51,101.59,2157.09,2.949,1.793,2,1
4.0,2008,Deep Stream,3.0,4.0,927.56,87.89,2180.0,3.0,2.0,0,1
2.0,2008,Lee Stream,3.0,4.0,909.93,88.52,2167.59,3.0,2.0,0,1
2.0,2008,Tokomairiro River West Branch,3.0,2.42,899.29,99.35,2149.06,3.0,2.0,2,1
2.0,2008,Tokomairiro River East Branch,3.0,1.0,908.76,100.88,2145.82,3.028,2.0,3,1
2.0,2008,Leith Stream,3.0,1.4,1091.26,106.46,2156.58,3.706,1.801,3,0
2.0,2008,Lindsay Creek,3.56,2.24,1077.93,104.24,2155.91,3.741,1.63,2,1
2.0,2008,Shag River,3.0,1.01,964.83,101.64,2171.31,3.381,2.383,7,0
2.0,2008,Kaikorai Stream,3.48,1.03,1051.2,104.76,2159.02,3.106,2.0,5,0
2.0,2008,Shag River,3.0,1.01,964.83,101.64,2171.31,3.381,2.383,6,1
3.0,2008,Kakanui River,3.35,2.51,999.01,104.02,2184.95,2.257,1.967,2,1
3.0,2008,Kakanui River,3.59,1.75,1007.99,106.96,2177.74,3.7,1.722,7,1
5.0,2008,Trotters Creek,3.12,2.38,985.63,103.65,2168.84,3.141,2.0,6,1
5.0,2008,Trotters Creek,1.0,4.0,953.19,99.86,2165.91,1.0,1.0,5,1
4.0,2008,Trotters Creek,3.24,2.13,997.44,104.41,2169.98,3.278,2.0,3,0
4.0,2008,Luggate Creek,3.0,2.6,1215.2,104.33,2308.76,2.998,1.999,0,1
5.0,2008,Waiwera River,3.0,1.0,877.34,100.19,2143.57,3.0,2.0,2,0
5.0,2008,Heriot Burn,3.0,2.0,931.0,100.0,2174.0,3.0,2.0,3,1
5.0,2008,Waipahi River,2.58,1.36,861.9,98.67,2148.14,2.763,1.842,3,1
4.0,2008,Waitahuna River,3.0,1.84,899.78,98.23,2154.27,3.0,2.0,2,1
4.0,2008,Lindis River,3.0,2.05,1208.0,102.0,2307.0,2.93,2.07,1,1
4.0,2008,Cardrona River,2.82,2.67,1167.8,98.98,2298.11,2.726,1.817,2,2
4.0,2008,Fraser River,2.62,2.85,1127.09,103.73,2310.8,2.998,1.973,0,2
3.0,2008,Waianakarua River,3.46,1.93,991.17,105.49,2174.0,3.659,2.0,8,0
4.0,2008,Waikouaiti River,3.0,1.61,985.04,103.91,2160.88,3.0,2.0,6,0
3.0,2010,Houheria Stream,3.0,5.0,1034.45,137.57,2370.48,3.001,1.0,4,0
3.0,2010,Mokoroa Stream,3.0,5.0,1034.45,137.57,2370.48,3.001,1.0,4,0
3.0,2010,Mokoroa Stream,3.0,5.0,1041.33,139.03,2370.58,2.999,1.0,5,0
3.0,2010,Mokoroa Stream,3.0,5.0,1041.33,139.03,2370.58,2.999,1.0,5,0
1.0,2010,Hakaru River tributary,1.0,2.0,1111.25,148.92,2357.49,1.0,1.0,5,0
9.0,2009,Hororata River tributary,4.0,3.0,1172.97,111.0,2294.0,4.0,2.0,2,0
5.0,2009,Lee River Wetland,4.0,1.0,1175.62,117.0,2278.57,4.0,2.0,2,0
5.0,2009,Coopers Lagoon,4.0,1.0,1175.62,117.0,2278.57,4.0,2.0,2,0
9.0,2009,Unnamed Stream The Kaik,3.0,1.0,1261.1,120.48,2261.39,3.0,2.0,4,1
9.0,2009,Unnamed Stream The Kaik,3.0,1.0,1261.1,120.48,2261.39,3.0,2.0,5,0
7.0,2008,Te Kawa Stream,3.03,1.07,1130.29,119.57,2240.38,3.065,2.0,1,0
7.0,2008,Te Kawa Stream,3.03,1.07,1130.29,119.57,2240.38,3.065,2.0,1,0
7.0,2008,Te Kawa Stream,3.0,1.0,1130.67,116.11,0.0,3.0,2.0,1,0
7.0,2008,Te Kawa Stream tributary,3.0,1.0,1076.38,108.16,2240.32,3.322,2.0,0,0
7.0,2008,Opuahou Stream,3.0,1.0,1208.54,115.85,2260.49,3.062,2.0,2,0
7.0,2008,Hikuika Stream,3.0,1.0,1234.23,118.16,2263.96,3.717,2.0,2,0
6.0,2008,Hikuika Stream,3.49,1.97,1072.56,104.64,2240.04,3.212,2.0,0,0
5.0,2009,Lake Ellesmere tributary,3.71,1.02,1175.66,116.79,2282.38,3.732,2.0,3,0
2.0,2010,Moffat Creek,3.0,4.0,794.0,101.0,2128.0,1.505,1.748,3,1
2.0,2010,Oteramika Creek,3.04,1.0,823.04,100.98,2132.64,3.18,2.0,2,0
2.0,2010,Cascade Stream,3.0,2.62,874.91,98.87,2163.2,3.0,1.612,4,1
2.0,2010,Pourakino River,3.06,3.81,863.44,96.28,2164.79,3.031,1.031,2,1
2.0,2010,Tussock Creek,4.0,1.0,867.27,100.0,2157.0,3.32,2.431,2,1
2.0,2010,Winton Stream,4.0,1.0,882.0,100.0,2162.0,3.803,2.196,4,1
2.0,2010,Taylors Stream,3.41,1.83,913.37,96.69,2177.64,3.262,1.838,3,1
2.0,2010,Makarewa River,3.02,1.62,906.53,100.73,2166.36,3.072,2.304,2,0
2.0,2010,Waikawa River,3.0,2.0,791.27,100.0,2116.0,3.0,2.064,3,1
2.0,2010,Hamilton Burn,2.85,1.79,940.88,92.76,2205.87,2.851,2.525,1,1
2.0,2010,Oreti River,3.92,2.92,892.97,80.86,2228.94,3.34,1.089,1,1
2.0,2010,Camp Creek,3.42,1.58,846.16,97.99,2161.05,3.411,1.78,2,1
2.0,2010,Waihopai River,3.37,1.0,824.15,100.0,2144.31,3.775,2.0,3,0
2.0,2010,Dunsdale Stream,3.0,1.62,876.63,98.02,2158.68,3.0,1.073,2,1
6.0,2010,Titiroa Stream,4.0,1.0,804.86,101.0,2122.0,3.772,1.989,1,0
5.0,2010,Oakley Creek tributary,2.9,3.54,1164.44,146.64,2384.69,3.088,1.0,1,1
3.0,2010,Maruia River,1.55,1.21,916.01,101.28,2290.59,1.254,0.331,2,1
7.0,2009,Ngaruroro River Estuary,0.0,0.0,1202.59,138.0,2350.86,1.428,1.971,4,0
4.0,2010,Mangahananga Stream tributary,2.31,2.25,938.39,98.72,2346.6,2.273,2.0,1,0
4.0,2010,Te Hoe River,2.0,1.0,1073.96,118.88,2359.4,2.22,1.998,0,1
1.0,2010,Kakekino Stream,2.0,1.0,1245.79,110.0,2383.5,2.0,1.0,1,1
12.0,2009,Triplex Creek,2.0,1.0,1159.91,109.08,2338.79,2.0,2.0,3,2
8.0,2009,Ruahapia Stream,2.0,1.0,1205.4,136.0,2355.31,2.0,2.0,1,1
3.0,2010,Karitawhenua Stream,2.0,1.0,1145.0,134.0,2343.0,2.0,2.0,2,2
8.0,2009,Raupare Stream,1.31,0.66,1248.28,136.0,2363.31,1.846,2.3,5,1
9.0,2009,Raupare Stream,2.0,1.0,1283.44,136.0,2369.82,1.995,2.499,3,1
6.0,2009,Purimu Stream,2.0,1.0,1330.1,138.0,2376.2,2.0,3.0,1,0
6.0,2009,Purimu Stream,2.0,1.0,1330.1,138.0,2376.2,2.0,3.0,2,0
6.0,2009,Purimu Stream,2.0,1.0,1330.1,138.0,2376.2,2.0,3.0,0,2
6.0,2009,Purimu Stream,2.0,1.0,1327.36,137.26,2375.62,2.0,3.0,0,1
6.0,2009,Ahuriri Lagoon tributary,2.0,1.0,1311.4,138.0,2374.05,2.0,3.0,1,0
6.0,2009,Ahuriri Lagoon tributary,2.0,1.0,1311.4,138.0,2374.05,2.0,3.0,0,1
6.0,2009,Ahuriri Lagoon tributary,2.0,1.0,1311.4,138.0,2374.05,2.0,3.0,0,0
6.0,2009,Ahuriri Lagoon tributary,2.0,1.0,1311.4,138.0,2374.05,2.0,3.0,0,1
6.0,2009,Tannery Stream,2.0,1.0,1336.27,138.0,2376.86,2.0,3.0,1,0
6.0,2009,Tannery Stream,2.0,1.0,1336.27,138.0,2376.86,2.0,3.0,1,0
6.0,2009,Tannery Stream,2.0,1.0,1321.47,138.0,2375.32,2.0,3.0,1,0
6.0,2009,Taipo Stream,1.96,1.15,1343.02,136.98,2377.95,1.909,2.166,1,0
6.0,2009,Taipo Stream,2.0,1.63,1339.94,136.91,2376.96,1.976,2.952,1,1
6.0,2009,Taipo Stream,2.0,1.0,1337.62,137.0,2376.54,2.0,2.536,1,2
6.0,2009,Taipo Stream,2.0,1.0,1337.62,137.0,2376.54,2.0,2.536,1,1
6.0,2009,Taipo Stream,2.0,1.0,1331.44,137.0,2375.86,2.0,2.73,3,2
6.0,2009,Taipo Stream,2.0,1.0,1331.44,137.0,2375.86,2.0,2.73,0,1
6.0,2009,Ahuriri Lagoon tributary,2.0,1.0,1331.54,137.86,2376.22,2.0,2.901,3,2
6.0,2009,Ahuriri Lagoon tributary,2.0,1.0,1305.2,138.48,2373.3,2.0,2.851,1,1
1.0,2010,Waihau Stream,2.0,1.0,1332.14,126.48,2380.91,1.702,1.698,2,0
4.0,2010,Waimaunu Stream,2.29,2.15,1244.51,142.22,2370.57,2.306,1.8,4,0
4.0,2010,Waimaunu Stream,2.29,2.15,1244.51,142.22,2370.57,2.306,1.8,2,0
1.0,2010,Taruarau River,1.67,2.33,1247.12,115.36,2375.8,1.531,1.0,0,2
4.0,2010,Mangakuri River,1.17,3.5,1209.6,131.19,2327.42,1.205,1.205,0,0
4.0,2010,Mangaone Stream,2.0,1.0,1108.02,126.99,2362.23,2.0,2.0,1,0
10.0,2009,Mangahia Stream,2.21,1.93,1031.25,136.97,2336.99,1.916,1.851,1,0
10.0,2009,Mangahia Stream,2.01,2.0,1036.05,137.93,2337.1,1.931,1.814,0,0
10.0,2009,Waipa River tributary,2.13,1.83,1035.17,137.47,2337.62,2.08,1.784,1,1
10.0,2009,Waipa River tributary,2.0,2.0,1030.83,137.03,2336.14,2.0,2.0,0,0
10.0,2009,Mangaotama Stream,1.85,1.85,1028.44,136.82,2336.6,1.426,1.931,1,0
10.0,2009,Mangaotama Stream tributary,1.85,1.85,1028.44,136.82,2336.6,1.426,1.931,0,0
12.0,2009,Horseshoe Lake,1.0,1.0,1047.0,137.0,2343.0,1.0,1.502,2,1
10.0,2009,Tanehopuwai Stream wetland,2.23,1.93,999.39,134.48,2325.66,2.246,2.0,0,0
10.0,2009,Tanehopuwai Stream wetland,2.23,1.93,999.39,134.48,2325.66,2.246,2.0,0,0
10.0,2009,Tanehopuwai Stream wetland,2.0,1.0,1004.0,135.0,2326.0,2.0,2.0,0,0
10.0,2009,Mangahotu Stream tributary,2.0,1.0,960.99,131.51,2320.02,2.0,2.0,0,0
10.0,2009,Mangahotu Stream tributary wetland,2.0,1.0,960.99,131.51,2320.02,2.0,2.0,0,0
1.0,2010,Mangapu River wetland,2.49,2.97,1006.37,134.82,2327.95,2.508,2.0,0,0
1.0,2010,Ohinemuri River,3.7,4.4,1108.04,138.29,2373.67,3.95,2.0,0,0
3.0,2010,Maihihi Stream,1.15,3.55,920.89,124.38,2326.08,1.152,1.152,2,2
3.0,2010,Tunawaea Stream,2.0,1.18,811.12,111.85,2314.62,1.635,1.569,1,0
3.0,2010,Tunawaea Stream tributary,1.35,2.94,795.24,109.49,2312.88,1.34,1.34,1,0
3.0,2010,Mangaorongo Stream,1.53,2.41,882.12,119.67,2322.89,1.475,1.475,1,0
3.0,2010,Mangaorongo Stream tributary,1.0,4.0,839.36,115.42,2319.92,1.0,1.0,0,0
2.0,2010,Firewood Creek tributary,1.0,4.0,1035.23,136.05,2343.4,1.0,1.0,4,0
4.0,2010,Mangakara Stream,2.76,2.28,951.1,127.38,2329.95,2.805,1.977,1,0
11.0,2009,Muriwai Stream,1.0,4.0,1158.85,143.8,2370.89,1.0,1.0,4,0
11.0,2009,Muriwai Stream,1.0,4.0,1193.1,149.0,2373.72,1.0,1.0,6,0
11.0,2009,Muriwai Stream,1.0,4.0,1193.1,149.0,2373.72,1.0,1.0,3,0
1.0,2010,Waikoha Stream,1.0,3.01,1032.07,136.52,2337.74,1.0,1.0,6,0
1.0,2010,Paratawa Stream,1.92,1.24,1048.17,138.58,2339.21,1.934,1.934,3,0
1.0,2010,Tunaeke Stream,1.07,3.78,1032.02,135.75,2338.38,1.148,1.148,3,0
1.0,2010,Mangaotama Stream,1.0,4.0,1046.49,137.86,2341.0,1.0,1.0,4,0
1.0,2010,Waikato River tributary,2.0,1.44,1056.73,138.93,2346.0,2.0,2.0,3,1
2.0,2010,Waikoha Stream,1.0,3.01,1032.07,136.52,2337.74,1.0,1.0,5,1
1.0,2010,Whauwhautahi stream,1.7,1.17,1076.01,144.0,2355.0,1.124,1.105,2,0
2.0,2010,Whauwhautahi stream,1.7,1.17,1076.01,144.0,2355.0,1.124,1.105,3,0
1.0,2010,Te Paki stream,1.75,1.8,1052.29,138.77,2343.45,1.419,1.371,2,0
2.0,2010,Te Paki stream,1.75,1.8,1052.29,138.77,2343.45,1.419,1.371,2,0
1.0,2010,Waioteatua stream,1.0,4.0,1044.92,137.51,2347.46,1.0,1.0,3,0
2.0,2010,Waioteatua stream,1.0,4.0,1044.92,137.51,2347.46,1.0,1.0,4,0
1.0,2010,Waioteatua stream,1.0,4.0,1052.3,138.2,2347.5,1.46,1.236,8,0
2.0,2010,Waioteatua stream,1.0,4.0,1052.3,138.2,2347.5,1.46,1.236,7,0
1.0,2010,Karapiro Stream,1.53,1.88,1023.14,134.53,2340.0,1.375,1.375,2,0
1.0,2010,Karapiro Stream,1.53,1.88,1023.14,134.53,2340.0,1.375,1.375,2,0
1.0,2010,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,5,1
1.0,2009,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,4,0
4.0,2008,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,3,0
4.0,2008,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,2,0
1.0,2009,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,3,0
1.0,2010,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,6,0
4.0,2008,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,2,0
1.0,2009,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,1,0
1.0,2010,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,2,0
4.0,2008,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,1,0
1.0,2009,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,1,0
1.0,2010,Waikato River tributary,2.0,1.84,1048.39,137.05,2344.44,1.994,1.994,1,0
5.0,2010,Oakley Creek tributary,2.9,3.54,1164.44,146.64,2384.69,3.088,1.0,1,1
7.0,2010,Unnamed Stream Two House Bay,0.93,1.52,1097.62,151.4,2378.66,1.0,1.0,1,0
7.0,2010,Unnamed Stream Bon Accord Bay,0.99,4.04,1168.49,150.92,2378.66,1.0,1.0,2,0
7.0,2010,Unnamed Stream Schoolhouse Bay,0.99,2.5,1149.18,151.01,2378.6,1.0,1.0,1,0
7.0,2010,Lauder Creek tributary,3.0,4.7,1136.46,91.19,2294.22,3.0,2.826,0,0
7.0,2010,Lauder Creek tributary,3.0,3.31,1129.81,90.18,2295.98,3.0,2.066,0,0
7.0,2010,Lauder Creek tributary,3.0,3.96,1139.18,91.81,2292.25,3.004,2.614,0,0
11.0,2009,Manuherikia River,4.0,3.0,1071.94,84.0,2276.13,3.372,1.149,2,1
11.0,2009,Manuherikia River,4.0,3.0,1071.94,84.0,2276.13,3.372,1.149,0,0
11.0,2009,Manuherikia River,4.0,3.0,1073.0,84.0,2276.0,3.385,1.154,1,1
11.0,2009,Manuherikia River,4.0,3.0,1073.0,84.0,2276.0,3.385,1.154,0,2
12.0,2009,Manuherikia River,3.3,3.7,1028.77,75.73,2276.15,3.149,1.024,1,1
12.0,2009,Manuherikia River,3.78,3.22,1050.76,79.48,2277.68,3.155,1.033,0,0
12.0,2009,Manuherikia River East Branch,3.3,3.7,1028.77,75.73,2276.15,3.149,1.024,0,1
12.0,2009,Manuherikia River East Branch,3.3,3.7,1028.77,75.73,2276.15,3.149,1.024,0,1
12.0,2009,Manuherikia River East Branch tributary,3.0,4.0,1009.77,72.99,2273.53,3.0,1.0,0,0
12.0,2009,Manuherikia River,3.45,3.55,1039.92,77.91,2276.51,3.153,1.031,0,1
12.0,2009,Manuherikia River,3.78,3.22,1050.76,79.48,2277.68,3.155,1.033,0,1
12.0,2009,Manuherikia River,3.45,3.55,1039.92,77.91,2276.51,3.153,1.031,0,0
12.0,2009,Manuherikia River,4.0,3.0,1060.88,80.27,2277.71,3.209,1.041,1,2
12.0,2009,Manuherikia River,4.0,3.0,1063.65,81.69,2277.0,3.266,1.075,1,1
12.0,2009,Manuherikia River,4.0,3.0,1062.09,81.0,2277.0,3.231,1.048,1,1
12.0,2009,Manuherikia River,4.0,3.0,1056.88,80.0,2277.71,3.194,1.037,1,1
12.0,2009,Manuherikia River tributary,4.0,3.0,1040.68,78.32,2275.59,4.0,1.023,1,1
12.0,2009,Manuherikia River,4.0,3.0,1060.88,80.27,2277.71,3.209,1.041,2,1
12.0,2009,Manuherikia River,4.0,3.0,1060.88,80.27,2277.71,3.209,1.041,1,0
12.0,2009,Manuherikia River,4.0,3.0,1060.88,80.27,2277.71,3.209,1.041,1,1
12.0,2009,Manuherikia River,3.34,3.66,1030.12,75.49,2277.43,3.077,1.077,0,2
12.0,2009,Manuherikia River West Branch,3.32,3.68,1034.78,76.41,2277.66,3.087,1.087,0,1
12.0,2009,Manuherikia River West Branch,3.39,3.61,1039.48,77.39,2277.33,3.08,1.08,0,2
6.0,2010,Schoolhouse Creek,3.0,3.18,1002.58,73.2,2282.93,3.0,1.999,0,1
6.0,2010,Schoolhouse Creek,3.0,3.18,1002.58,73.2,2282.93,3.0,1.999,0,0
2.0,2010,Butchers Creek,3.0,4.0,987.45,75.21,2255.26,3.0,2.0,0,0
