y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio,fdval
2011,Waipahi River East Branch,3.6833,1.9567,757.85,90.5433,2126.67,3.6073,1.6073,2,1,0.001
2011,Araparera River tributary,1.01,3.1,1066.47,142.38,2369.53,1.008,1.008,3,0,459.0129
2011,Mahurangi River tributary,1.75,1.25,1120.44,149.9,2372,1.812,1.243,0,0,61.1466
2011,Te Wharau Creek tributary,0.99,1.61,1146.35,145.66,2382.39,1,1,3,0,550.4344
2011,Papakura Stream tributary,1,1.73,1075.55,142.16,2370.93,1.006,1.006,4,0,64.4399
2011,Manutewhau Stream,1.28,1.28,1112.42,143.47,2380,1.201,1.201,1,0,289.2238
2011,Bomb Bay tributary,1.97,1.97,1112.54,146.09,2381.9,2,2,1,0,103.2644
2011,Wallace Creek,1.97,1.97,1112.54,146.09,2381.9,2,2,1,0,45.1437
2011,Pahurehure Inlet tributary,2,2,1090.78,146.83,2370.79,2,2,1,1,160.5181
2011,Okura River tributary,1,2,1148.1,146.43,2382.04,1,1,2,0,346.2646
2011,Fenham Creek tributary,3,4,874.66,96.02,2171.29,3,1,1,1,0.001
2011,Hillpoint Stream,3,1.93,924.31,96.72,2184.35,2.996,2.344,3,1,116.3268
2011,Pleasant Creek,3.45,3.35,889.89,84.96,2198.14,3.235,2.8,3,1,134.0834
2011,North Etal Creek,3.64,3.93,880.41,84.49,2196.69,3.658,3,1,1,98.2385
2011,Kowhai Creek,3.46,3.38,899.86,87.08,2198.84,3.465,3,2,1,410.027
2011,Lora Stream,3,1.87,893.84,97.37,2168.08,3.198,1.445,3,1,0.001
2011,Whareroa Stream,1.21,1.37,1052.83,128.98,2319.48,1.277,1.395,3,0,263.234
2011,Bruce Stream,1.83,1.51,992.63,110.34,2301.56,1.587,1.587,3,0,0.001
2011,Unnamed stream Ohau Bay,1.38,2.86,910.67,124.42,2295.86,1.348,1.348,6,0,0.001
2011,Porirua Stream,1.374,2.876,964.784,124.032,2310.268,1.379,1.379,2.3,0.1,358.5492
2011,Duck Creek,1.53,3.28,1001.26,126.22,2310.83,1.507,1.304,8,0,0.001
2011,Tutai Patu Lagoon,3.81,1.19,1224.48,119,2308.805,3.6715,2,1.5,0.5,0.001
2011,Unnamed stream Pegasus,3.01,1.99,1211.87,119,2309.78,3.059,2,0,0,0.001
2011,Lee River,4,1,1173.05,117,2279.4,4,2,1,0,1144.7808
2011,Tent Burn,4,1.5171,1173.0129,117,2278.9,4,2,0.8571,0,0.001
2011,Ohimi Stream,3.4,4.96,1277.39,115.07,2348.79,2.667,3.465,0,0,0.001
2011,Kowai River tributary,4,1.92,1242.86,119.05,2324.36,4,2,1,0,0.001
2011,Home Creek,2.9633,5,1277.93,114.3733,2345.6967,2.689,3.3247,0.6667,0,77.9524
2011,Depression Stream,2,1.89,1129.62,141,2367.01,2,2,4,0,807.4333
2011,Karengorengo Stream,2,1.98,1127.83,141,2366.47,2,2,6,1,82.3977
2011,Paiakarahi Stream,3.465,5,1103.14,137.69,2373.35,3.5095,1.8365,6,1,178.375
2011,Mangatutu Stream,1.79,1.84,976.19,131.75,2333.17,1.709,1.709,7,2,286.1
2011,Stony Bay Creek,1,4,1134.98,139.82,2370.11,1,1,5.5,0,223.1944
2011,Mangawhero Stream tributary,2,1,979.42,130.2,2334.8,2,2,4,0,48.1944
2011,Mataiterangi Stream,1.565,1.405,1218.43,146.145,2378.655,2.471,1.6665,6.5,0.5,271.0167
2011,Turangaapo Stream,2.7,5,972.34,135.47,2320.29,2.159,1.579,5,0,37.2857
2011,Mangapukatoa Stream,1,4,1038.73,137.57,2342.28,1,1,4,0,122.8611
2011,Karapiro Stream tributary,1.95,1.15,984.95,128.85,2341.02,1.958,1.958,4,0,38.4722
2011,Kiripaka Stream,1,4,1018.64,134.13,2338.39,1,1,4,0,921
2011,Maihiihi Stream,1.99,1.04,929.42,125.22,2326.11,1.987,1.987,3,0,736.8
2011,Whakariawaka stream,2,1,991.33,132.76,2329.92,2,2,4,0,519.1
2011,Ohote Stream,1,1,1040.8,136.81,2340.91,1,1.485,2,1,810.1667
2011,Maungauwhauwhi  Stream tributary,2,1,899.85,121.83,2318.58,2,2,0,0,82.5
2011,Mangamauku stream,2.52,1.98,900.51,121.33,2326.6,2.456,1.824,3,0,354
2011,Mangatea Stream,1,3.59,996.91,129.25,2352.54,1,1,3,0,75.5
2011,Mangakaeo Stream,2,1,992.04,133.06,2333.41,2,2,3,1,168.0556
2011,Hauoira Stream,2,1,980.42,130.7,2338,2,2,4,0,38.2778
2011,Kakahu Stream,2,1,1069.43,135.2,2358,2,2,5,2,81.4444
2011,Unnammed stream Mokau River,2,1,884.89,121.89,2317.48,2,2,3,0,20.8056
2011,Mangauwhauwhi Stream,2,1,913.73,124,2320,1.999,1.993,3,0,357.9333
2011,Sow Burn tributary,3,2.78,1047.71,88.6667,2249.8133,3,2.007,0.3333,1,173.4187
2011,Lake Waiparera wetland,1,1.57,1170,158,2357,1,1.433,0,0,125.6677
2011,Mangawara Stream tributary,1.99,2.91,1057.06,138.83,2349.36,1.367,1.322,0,1,12.186
2011,Mangatoketoke Stream,2.06,2,1062.8,139,2349,2.041,1.9945,0.5,1,10.05
2011,Komakorau Stream tributary,1,1,1053.63,137.15,2346.93,1,1.778,1,0,23.2228
2011,Mangaotama Stream,2.57,2,1019,136,2336,2.649,2,2,1,80.2188
2011,Mangaotama Stream tributary,2.41,2,1020.75,136,2336,1.608,1.919,3,0,8.3117
2011,Waitakaruru Stream tributary,1.5825,1.4175,1049.3425,136.7675,2347.1925,1.5167,1.5785,1.25,0.25,219.8944
2011,Mangatoketoke Stream tributary,1,1,1056.71,138,2347.16,1,1.353,2,1,0.001
2011,Ohote Stream tributary,1.175,1.175,1047.155,137.6675,2341.965,1.1625,1.8425,1.25,0.75,0.001
2011,Mangaharakeke Stream,2,2,1034.43,135.14,2341.76,2,2,0,0,0.001
2011,Mangaharakeke Stream Tributary,2,2,1031.42,135.1,2341.08,2,2,0,0,0.001
2011,Mystery Creek tributary,1,1,1004.94,134.04,2335.04,1,1.9025,2,1,0.001
2011,Waipapa Stream tributary,1.0167,1,1070.1067,141.9967,2359.72,1.0083,1.697,1.3333,1,44.9826
2011,Unnamed stream,4,3,1005.36,110.54,2213.19,4,2,0.3077,0.0769,14.1087
2011,Unnamed water race Southbridge Dunsandel,4,3,1169.5,114,2288.825,3.9935,2,1,0,25.9652
2011,Unnamed water race,3.1329,2.1883,1168.2721,114.2258,2288.2788,3.1392,2,1,0,16.1957
2011,Unnamed wetland,3.155,1.845,1182.726,119.112,2298.774,3.1373,2,1.1,0.1,38.0682
2011,Hororata River tributary,4,3,1173.4033,110.9467,2294.9133,4,2,2,0.3333,30.7136
2011,Peacock Springs,4,2.96,1141.07,116,2290.09,4,2,1,0,107.9455
2011,Pareora River tributary,3.25,1,1021.95,109.16,2187.83,3.123,2,1,0,150.8594
2011,Unnamed wetland Waterton,4,1,1117.46,112.45,2248.12,4,2,1,0,375.2452
2011,Tutaepatu Lagoon,3.85,1.15,1225.87,119,2308.54,3.686,2,1,0.5,333.9755
2011,Waitohi River,3.16,2.93,1194.3,101.08,2348.12,3.007,1.075,2,0,347.1721
2011,Rakaunui Stream drain,1.69,2.25,1469.75,123.94,2390.75,2.547,0.931,1,0,251.5781
2011,George Stream,2.5725,3.1475,1482.02,113.9225,2411.0675,2.851,0.97,0,0,775.1302
2011,Tummil River,3,4,1280.07,92.16,2391.67,3,1,0,0,733.0389
2011,Swin Burn,3.3608,3.4758,937.4567,80.0908,2209.34,3.2298,1.2127,0.9167,0.3333,239.9167
2011,Larne Creek tributary,3,3,946.11,78.14,2222.5,3,1.13,0,1,327.4474
2011,Larne Creek,3,3.44,900.17,71.72,2219.665,3,1.2465,0,1,403.5298
2011,Swin Burn tributary,3.07,4.2294,911.0542,76.6179,2205.8985,3.0524,1.0893,0.4848,0.3636,103.3094
2011,Little Kye Burn tributary,3.1033,2.8867,931.2733,76.4033,2219.9833,3.0523,1.4397,0.3333,0.6667,0.001
2011,Little Kye Burn,3.0025,2.445,954.295,79.4875,2222.7525,3.0717,1.3325,0.75,0.25,0.001
2011,White Sow Creek,3,1.27,1047.8,82.91,2264.02,3,1.958,0.5,0,285.2364
2011,White Sow Creek tributary,3,4.02,1052.05,83.33,2265.55,3,1.722,0,0,41.6284
2011,Shag River,3.27,2.48,929.03,80.81,2202.43,3.006,1.018,0,2,90.4205
2011,Gorge Creek,3.0925,3.565,998.555,79.715,2248.5025,3.0845,2,0.5,0.25,65.3145
2011,Obelisk Creek,3,4,1059.44,91.06,2255.68,3,2,1,1,28.1359
2011,Unnamed waterrace Hut Creek,3,4,1033.17,85.79,2250.09,3,2,0,0,157.777
2011,Hut Creek,3,4,968.145,75.915,2240.695,3,2,0,0,293.6464
2011,Gorge Creek tributary,3,4,909.17,67.56,2233.12,3,2,0,0,90.3653
2011,Rock Creek tributary,3,2.5267,951.2667,88.08,2196.75,3,2,0,1,275.4532
2011,Rock Creek,3,2,984.33,93.72,2199.55,3,2,0,1,97.3944
2011,Kye Burn,3,3.69,927.65,77.45,2213.51,3,1.298,0,0,25.1332
2011,Kye Burn tributary,3.56,2.242,959.714,80.642,2217.886,3.1552,1.246,0.6,0,52.3862
2011,Sheepwash Creek,3,2,923.6,83.92,2189.5,3,2,0,0,154.4601
2011,Deadbullock Creek tributary,3,3.06,982.38,94.46,2195.67,3,2,0,0,31.2397
2011,Thomsons Creek tributary,3,3.8233,1010.5733,71.51,2290.1333,3,1.7243,0,0,610.0801
2011,Scotts Creek tributary,3,4,853.05,50.79,2275.26,3,2,0,0,69.9697
2011,Thomsons Creek,3,3.9129,985.95,67.5043,2288.1371,3,2,0.1429,0.8571,717.1467
2011,Rise and Shine Creek tributary,3,4,976.31,64.5,2287.95,3,2,0,1,116.3268
2011,Violets Creek,3,4,956.15,62.96,2284.93,3,2,0,1,134.0834
2011,Dip Creek,3,4,996.5,66.05,2284.215,3,2,1,1,0.001
2011,Dip Creek tributary,3,4,941.6667,59.0983,2276.925,3,1.9908,0.3333,0.5,0.001
2011,Waianakarua River,3.5978,2.2011,990.1511,105.4122,2173.9533,3.6893,2.0132,2.6667,0.3333,235.6771
2011,Waianakarua River North Branch,3.2618,2.4435,974.5206,101.8235,2174.58,3.1022,1.7403,1.3529,0.1765,291.4825
